	TE_20210719.3.ser\n54_dB_-_100_mM_acetone_w_20_%_naphthalene_in_CDCl3_1	TE_20210719.3.ser\n54_dB_-_100_mM_acetone_w_20_%_naphthalene_in_CDCl3_2	
1.1454	-7.04199	-27.2691	
1.14731	5.72656	-25.5973	
1.14921	18.4951	-23.9255	
1.15112	31.2627	-22.2537	
1.15302	68.9404	6.16748	
1.15492	106.618	34.5886	
1.15683	64.0127	-6.02069	
1.15873	21.4072	-46.63	
1.16064	26.1113	-63.0786	
1.16254	30.8154	-79.5273	
1.16444	35.5195	-26.9456	
1.16635	40.2236	25.6362	
1.16825	42.5078	26.7283	
1.17015	44.793	27.8204	
1.17206	81.4844	28.9124	
1.17396	118.177	30.0045	
1.17587	86.7715	16.4276	
1.17777	55.3662	2.85077	
1.17967	32.5625	3.07996	
1.18158	9.75879	141.37	
1.18348	-28.2773	202.432	
1.18539	71.3154	180.658	
1.18729	50.4824	145.078	
1.18919	98.4648	109.497	
1.1911	132.11	96.3519	
1.193	96.9414	83.2064	
1.19491	10.1621	70.061	
1.19681	152.763	56.9156	
1.19871	122.433	53.4775	
1.20062	92.1025	50.0395	
1.20252	110.516	46.6014	
1.20442	128.929	43.1634	
1.20633	74.9443	40.5883	
1.20823	20.959	38.0131	
1.21014	-33.0264	35.4379	
1.21204	-87.0117	32.8628	
1.21394	-64.6562	111.398	
1.21585	-42.2998	189.934	
1.21775	17.3301	121.78	
1.21966	145.774	53.6259	
1.22156	159.528	-16.2539	
1.22346	104.468	-3.29724	
1.22537	58.0088	18.2882	
1.22727	80.3652	-42.9628	
1.22918	32.6738	-75.6982	
1.23108	53.7979	29.627	
1.23298	20.4434	-16.9146	
1.23489	124.718	-63.4561	
1.23679	60.54	-12.4923	
1.2387	-3.63672	38.4715	
1.2406	22.5039	48.0171	
1.2425	-20.1689	57.5627	
1.24441	-94.3809	44.6735	
1.24631	-30.9658	31.7842	
1.24821	89.7949	60.3132	
1.25012	72.9277	88.8421	
1.25202	35.2725	50.9293	
1.25393	66.4316	13.0165	
1.25583	127.697	16.522	
1.25773	51.334	20.0275	
1.25964	14.3955	4.22595	
1.26154	-22.543	-11.5755	
1.26345	-33.6758	-27.377	
1.26535	-44.8086	-43.1785	
1.26725	-69.5615	-37.408	
1.26916	-94.3145	-31.6375	
1.27106	-153.474	43.1634	
1.27297	-212.634	117.964	
1.27487	-138.466	55.1359	
1.27677	-64.2979	-7.69257	
1.27868	-70.4131	26.1215	
1.28058	-76.5283	59.9357	
1.28248	-57.5547	29.0338	
1.28439	-38.582	-1.8681	
1.28629	-45.4141	36.2604	
1.2882	-52.2461	74.3889	
1.2901	-95.792	60.1379	
1.292	-1.71094	45.8869	
1.29391	14.9551	36.8132	
1.29581	31.6211	27.7394	
1.29772	83.4111	-76.251	
1.29962	135.201	-97.405	
1.30152	-5.11523	-40.8999	
1.30343	-7.80371	15.6052	
1.30533	30.0088	10.1987	
1.30724	67.8203	4.79224	
1.30914	-0.456055	45.9813	
1.31104	-68.7324	4.33386	
1.31295	-75.3633	-14.0158	
1.31485	-81.9941	-32.3655	
1.31675	-88.624	-33.4576	
1.31866	-95.2549	48.2867	
1.32056	-31.2793	56.7943	
1.32247	32.6963	65.3017	
1.32437	27.8584	120.405	
1.32627	23.0195	175.508	
1.32818	-14.792	171.072	
1.33008	-52.6045	166.636	
1.33199	-56.0088	162.2	
1.33389	-59.4141	157.765	
1.33579	-52.7832	100.046	
1.3377	-46.1533	42.3275	
1.3396	-5.11523	-36.1002	
1.34151	35.9219	23.5329	
1.34341	63.3408	87.4803	
1.34531	90.7588	-41.8572	
1.34722	63.6992	-71.1007	
1.34912	36.6387	-183.181	
1.35103	-93.8213	-210.173	
1.35293	5.09961	-154.328	
1.35483	9.40039	-108.838	
1.35674	13.7012	-63.3483	
1.35864	-5.65332	-46.3334	
1.36054	-25.0068	-29.3185	
1.36245	33.0547	-7.12628	
1.36435	91.1172	15.0659	
1.36626	-48.6621	-79.2307	
1.36816	-50.8125	-90.6908	
1.37006	30.1875	-131.489	
1.37197	111.188	-89.4504	
1.37387	164.232	-37.0574	
1.37578	217.276	-67.5009	
1.37768	235.914	-123.831	
1.37958	254.551	-42.0999	
1.38149	187.35	-105.333	
1.38339	120.148	-168.566	
1.3853	121.761	-200.735	
1.3872	123.374	-150.068	
1.3891	138.606	-111.481	
1.39101	153.838	-72.8939	
1.39291	169.07	-75.7252	
1.39481	184.303	4.27991	
1.39672	136.456	57.1043	
1.39862	88.6084	109.929	
1.40053	40.7607	104.077	
1.40243	-7.08691	98.226	
1.40433	40.4023	49.2305	
1.40624	87.8916	83.0716	
1.40814	100.974	37.5277	
1.41005	114.055	-8.01611	
1.41195	182.152	-37.5428	
1.41385	250.25	70.9913	
1.41576	203.657	101.866	
1.41766	157.064	132.741	
1.41957	147.745	84.2311	
1.42147	138.427	35.7211	
1.42337	94.7012	-59.3844	
1.42528	50.9756	-71.6535	
1.42718	54.7383	-106.357	
1.42908	58.502	-141.061	
1.43099	-52.4248	-82.5743	
1.43289	-163.353	-106.924	
1.4348	-167.474	-9.60706	
1.4367	-171.596	87.7096	
1.4386	-106.903	33.1594	
1.44051	-42.2109	-21.3907	
1.44241	-50.0957	-90.8256	
1.44432	-57.9805	-77.424	
1.44622	-65.8652	-74.377	
1.44812	-73.75	-71.3299	
1.45003	-45.0781	36.9885	
1.45193	-16.4053	62.4703	
1.45384	-99.5557	27.5507	
1.45574	-45.0781	75.4675	
1.45764	-26.2617	-9.93066	
1.45955	-7.44531	42.732	
1.46145	88.7871	-18.5055	
1.46335	185.02	-79.743	
1.46526	211.721	-57.2811	
1.46716	238.423	-34.8193	
1.46907	196.31	-58.953	
1.47097	154.196	-0.250183	
1.47287	136.321	-49.0568	
1.47478	118.445	-97.8635	
1.47668	160.782	-44.8503	
1.47859	203.119	8.16284	
1.48049	258.359	78.4336	
1.48239	175.97	148.704	
