	TE_20210720.3.ser\n54_dB_-_100_mM_TCE_w_20_%_naphthalene_in_CDCl3_1	TE_20210720.3.ser\n54_dB_-_100_mM_TCE_w_20_%_naphthalene_in_CDCl3_2	
5.11693	521.639	341.372	
5.11884	656.527	377.915	
5.12074	765.662	429.511	
5.12265	874.799	481.106	
5.12455	983.936	611.727	
5.12645	1093.07	561.719	
5.12836	1244.68	689.164	
5.13026	1396.29	816.609	
5.13217	1547.9	951.581	
5.13407	1699.51	1176.87	
5.13597	2041.41	1412.97	
5.13788	2383.3	1558.76	
5.13978	2951.25	1855.08	
5.14169	3381.85	2332.02	
5.14359	3957.66	2779.33	
5.14549	4533.48	3226.63	
5.1474	5326.76	3801.89	
5.1493	6120.05	4377.14	
5.15121	7129.37	5116.09	
5.15311	8276.04	6035.67	
5.15501	9940.62	7267.58	
5.15692	11925.7	8800.54	
5.15882	14621.5	10783.4	
5.16072	18187.1	13669.5	
5.16263	23572.6	18173.6	
5.16453	30926.8	24544.3	
5.16644	42070.9	34171.9	
5.16834	55733	46388.5	
5.17024	70608.4	59004	
5.17215	73626.1	60360.3	
5.17405	62396.8	52585	
5.17596	48832.5	41859.5	
5.17786	34919.2	30968.4	
5.17976	25172.1	23147.9	
5.18167	18830.8	17764.1	
5.18357	14916	14126.3	
5.18548	11985.5	11408.6	
5.18738	9833.27	9473.66	
5.18928	8079.67	7843.68	
5.19119	6646.55	6665.28	
5.19309	5436.62	5537.67	
5.19499	4638.73	4741.22	
5.1969	3963.16	4038.85	
5.1988	3516.51	3426.78	
5.20071	2966.85	3010.4	
5.20261	2554.54	2594.02	
5.20451	2240.95	2297.12	
5.20642	2064.7	2000.22	
5.20832	1742.53	1727.78	
5.21023	1557.7	1545.65	
5.21213	1401.48	1370.11	
5.21403	1245.26	1194.56	
5.21594	977.453	1034.07	
5.21784	938.555	873.585	
5.21975	836.438	800.587	
5.22165	871.67	878.112	
5.22355	835.365	684.695	
5.22546	936.41	581.592	
5.22736	834.293	604.553	
5.22926	732.176	627.514	
5.23117	672.98	505.596	
5.23307	613.785	473.992	
5.23498	607.168	409.46	
5.23688	600.551	435.243	
5.23878	559.596	410.225	
5.24069	518.643	385.206	
5.24259	462.666	392.174	
5.2445	406.689	308.827	
5.2464	419.387	231.125	
5.2483	432.084	243.737	
5.25021	420.068	198.11	
5.25211	408.053	242.797	
5.25402	301.609	338.285	
5.25592	424.082	343.459	
5.25782	366.998	345.811	
5.25973	309.916	348.163	
5.26163	275.723	350.515	
5.26354	241.531	352.867	
5.26544	111.84	279.604	
5.26734	119.496	296.656	
5.26925	109.984	212.104	
5.27115	100.473	217.866	
5.27305	208.279	204.813	
5.27496	178.736	191.76	
5.27686	226.453	54.5243	
5.27877	274.17	67.8127	
5.28067	300.693	83.2179	
5.28257	327.217	98.623	
5.28448	285.068	78.2788	
5.28638	242.918	57.9346	
5.28829	205.061	126.023	
5.29019	167.201	194.112	
5.29209	163.682	102.269	
5.294	160.16	10.4256	
5.2959	159.143	29.4762	
5.29781	158.125	138.841	
5.29971	191.445	112.735	
5.30161	224.766	-3.68604	
5.30352	160.082	2.19379	
5.30542	95.3984	8.07361	
5.30732	99.3887	53.4659	
5.30923	103.379	98.8582	
5.31113	108.609	7.30923	
5.31304	113.842	-84.2397	
5.31494	84.7344	-70.4221	
5.31684	55.6289	-56.6045	
5.31875	50.1289	-16.4453	
5.32065	44.6309	23.714	
5.32256	39.1309	-41.4934	
5.32446	33.6309	-16.3865	
5.32636	22.7676	59.5222	
5.32827	11.9023	-15.0929	
5.33017	-76.2207	51.408	
5.33208	-26.9941	117.909	
5.33398	-18.5449	44.2346	
5.33588	-10.0937	60.8745	
5.33779	41.2773	83.1591	
5.33969	92.6484	15.1294	
5.34159	62.291	-35.7311	
5.3435	31.9336	3.72253	
5.3454	61.6641	31.8869	
5.34731	91.3965	60.0513	
5.34921	181.219	14.8354	
5.35111	133.691	-30.3805	
5.35302	94.75	-69.9517	
5.35492	55.8086	-109.523	
5.35683	84.8242	-114.05	
5.35873	113.842	-28.2637	
5.36063	108.52	-119.342	
5.36254	103.199	-120.107	
5.36444	76.418	-125.575	
5.36635	49.6387	-131.043	
5.36825	-11.4805	-4.80322	
5.37015	-72.5977	31.1226	
5.37206	-75.5156	-23.8245	
5.37396	-78.4336	-78.7715	
5.37587	33.1074	-64.1013	
5.37777	144.646	-49.4311	
5.37967	166.766	-46.991	
5.38158	188.887	-44.5509	
5.38348	65.0742	-87.2679	
5.38538	78.6094	-129.985	
5.38729	65.498	-109.082	
5.38919	52.3867	-88.1792	
5.3911	116.535	-67.2764	
5.393	180.682	-46.3736	
5.3949	93.1738	-59.3387	
5.39681	5.66602	-72.3037	
5.39871	32.6152	-66.4532	
5.40062	59.5625	29.7114	
5.40252	-3.26563	65.3138	
5.40442	-66.0937	10.602	
5.40633	-14.4648	12.3365	
5.40823	37.1641	14.071	
5.41014	30.1328	-1.12833	
5.41204	23.1035	-16.3277	
5.41394	16.0723	-82.3288	
5.41585	9.04102	-58.0157	
5.41775	-55.0391	-80.2708	
5.41965	-119.119	-102.526	
5.42156	-146	-43.8747	
5.42346	-35.5332	14.7766	
5.42537	-38.8086	-28.1755	
5.42727	-42.084	-71.1277	
5.42917	-2.4375	-129.132	
5.43108	37.209	-36.6131	
5.43298	-1.375	-11.7708	
5.43489	-39.9609	-77.2427	
5.43679	35.9121	-88.1498	
5.43869	111.785	-99.0569	
5.4406	85.3613	1.98801	
5.4425	58.9375	12.7187	
5.44441	32.5137	-70.6279	
5.44631	6.08984	-153.975	
5.44821	24.5566	31.8575	
5.45012	43.0215	67.1659	
5.45202	-15.7715	0.870819	
5.45392	62.7832	24.89	
5.45583	64.0781	-37.6421	
5.45773	65.375	-100.174	
5.45964	152.516	-81.7996	
5.46154	102.307	-63.4251	
5.46344	85.7187	-70.4515	
5.46535	69.1309	-77.4779	
5.46725	43.959	-129.661	
5.46916	18.7891	-181.845	
5.47106	17.9395	-144.655	
5.47296	17.0898	-107.465	
5.47487	16.2402	-121.077	
5.47677	15.3906	-44.3745	
5.47868	53.707	-52.812	
5.48058	92.0234	-61.2496	
5.48248	75.9727	-45.2271	
5.48439	59.9219	61.1097	
5.48629	-23.373	138.283	
5.48819	122.246	125.141	
5.4901	139.102	123.289	
5.492	18.6094	121.437	
5.49391	151.307	38.2666	
5.49581	146.658	-44.9037	
5.49771	87.6406	-22.7073	
5.49962	28.625	-0.510925	
5.50152	44.7207	-1.83389	
5.50343	-76.5332	-3.15686	
5.50533	-51.8535	-4.47983	
5.50723	-27.1738	-5.80276	
5.50914	-40.4082	19.6863	
5.51104	-53.6406	45.1754	
5.51295	-23.9551	25.5073	
